month,index_level
1990-01,1
1990-02,0.999
1990-03,1
1990-04,0.979
1990-05,0.973
1990-06,0.966
1990-07,0.933
1990-08,0.981
1990-09,0.996
1990-10,1.005
1990-11,1.004
1990-12,0.927
1991-01,0.897
1991-02,0.913
1991-03,0.932
1991-04,0.933
1991-05,0.908
1991-06,0.927
1991-07,0.896
1991-08,0.893
1991-09,0.925
1991-10,0.936
1991-11,0.92
1991-12,0.898
1992-01,0.877
1992-02,0.928
1992-03,0.923
1992-04,0.918
1992-05,0.873
1992-06,0.901
1992-07,0.856
1992-08,0.897
1992-09,0.905
1992-10,0.928
1992-11,0.932
1992-12,0.917
1993-01,0.909
1993-02,0.95
1993-03,0.953
1993-04,0.942
1993-05,0.933
1993-06,0.917
1993-07,0.913
1993-08,0.93
1993-09,0.951
1993-10,0.959
1993-11,0.945
1993-12,0.95
1994-01,0.91
1994-02,0.957
1994-03,1.009
1994-04,0.997
1994-05,0.985
1994-06,1.038
1994-07,1.011
1994-08,1.009
1994-09,1.05
1994-10,1.045
1994-11,1.085
1994-12,1.032
1995-01,1.054
1995-02,1.019
1995-03,1.051
1995-04,1.071
1995-05,1.064
1995-06,1.04
1995-07,1.008
1995-08,1.016
1995-09,1.012
1995-10,1.037
1995-11,1.012
1995-12,1.013
1996-01,1.014
1996-02,1.033
1996-03,1.027
1996-04,1.063
1996-05,1.028
1996-06,1.017
1996-07,1.044
1996-08,1.045
1996-09,1.092
1996-10,1.072
1996-11,1.048
1996-12,1.04
1997-01,1.016
1997-02,1.032
1997-03,1.049
1997-04,1.077
1997-05,1.013
1997-06,1.015
1997-07,1.055
1997-08,1.083
1997-09,1.214
1997-10,1.136
1997-11,1.112
1997-12,1.101
1998-01,1.097
1998-02,1.245
1998-03,1.153
1998-04,1.142
1998-05,1.043
1998-06,1.018
1998-07,1.026
1998-08,1.027
1998-09,1.016
1998-10,1.077
1998-11,1.13
1998-12,1.07
1999-01,1.055
1999-02,1.07
1999-03,1.054
1999-04,1.083
1999-05,1.038
1999-06,1.053
1999-07,1.041
1999-08,1.012
1999-09,1.036
1999-10,1.045
1999-11,1.101
1999-12,1.075
2000-01,1.134
2000-02,1.112
2000-03,1.142
2000-04,1.102
2000-05,1.103
2000-06,1.141
2000-07,1.052
2000-08,1.157
2000-09,1.183
2000-10,1.16
2000-11,1.101
2000-12,0.948
2001-01,1.069
2001-02,1.02
2001-03,1.049
2001-04,0.994
2001-05,1.075
2001-06,1.022
2001-07,1.045
2001-08,0.991
2001-09,0.999
2001-10,1.057
2001-11,0.979
2001-12,0.966
2002-01,0.937
2002-02,0.935
2002-03,0.946
2002-04,0.978
2002-05,0.967
2002-06,0.989
2002-07,1.062
2002-08,1.032
2002-09,1.049
2002-10,0.999
2002-11,0.943
2002-12,0.898
2003-01,0.94
2003-02,0.948
2003-03,1.035
2003-04,0.966
2003-05,0.989
2003-06,1.016
2003-07,1.062
2003-08,1.06
2003-09,1.086
2003-10,1.088
2003-11,1.072
2003-12,1.029
2004-01,1.019
2004-02,1.131
2004-03,1.169
2004-04,1.142
2004-05,1.193
2004-06,1.249
2004-07,1.175
2004-08,1.292
2004-09,1.316
2004-10,1.298
2004-11,1.292
2004-12,1.232
2005-01,1.229
2005-02,1.321
2005-03,1.303
2005-04,1.228
2005-05,1.219
2005-06,1.233
2005-07,1.244
2005-08,1.244
2005-09,1.277
2005-10,1.257
2005-11,1.237
2005-12,1.256
2006-01,1.286
2006-02,1.254
2006-03,1.28
2006-04,1.288
2006-05,1.329
2006-06,1.347
2006-07,1.289
2006-08,1.345
2006-09,1.312
2006-10,1.24
2006-11,1.208
2006-12,1.161
2007-01,1.171
2007-02,1.196
2007-03,1.258
2007-04,1.259
2007-05,1.278
2007-06,1.31
2007-07,1.259
2007-08,1.271
2007-09,1.295
2007-10,1.264
2007-11,1.256
2007-12,1.173
2008-01,1.129
2008-02,1.134
2008-03,1.16
2008-04,1.171
2008-05,1.162
2008-06,1.166
2008-07,1.096
2008-08,1.127
2008-09,1.08
2008-10,1.05
2008-11,1.028
2008-12,0.902
2009-01,0.851
2009-02,0.938
2009-03,0.905
2009-04,0.878
2009-05,0.913
2009-06,0.933
2009-07,0.928
2009-08,0.94
2009-09,0.966
2009-10,0.921
2009-11,0.947
2009-12,0.919
2010-01,0.899
2010-02,0.93
2010-03,0.974
2010-04,0.991
2010-05,1.014
2010-06,1.106
2010-07,1.011
2010-08,1.095
2010-09,1.116
2010-10,1.058
2010-11,1.088
2010-12,1.049
2011-01,1.01
2011-02,1.036
2011-03,1.108
2011-04,1.113
2011-05,1.111
2011-06,1.165
2011-07,1.122
2011-08,1.143
2011-09,1.2
2011-10,1.081
2011-11,1.056
2011-12,1.056
2012-01,1.046
2012-02,1.072
2012-03,1.094
2012-04,1.115
2012-05,1.135
2012-06,1.15
2012-07,1.142
2012-08,1.13
2012-09,1.155
2012-10,1.139
2012-11,1.093
2012-12,1.071
2013-01,1.02
2013-02,1.077
2013-03,1.14
2013-04,1.1
2013-05,1.132
2013-06,1.133
2013-07,1.107
2013-08,1.126
2013-09,1.156
2013-10,1.116
2013-11,1.105
2013-12,1.037
2014-01,1
2014-02,1.073
2014-03,1.144
2014-04,1.161
2014-05,1.173
2014-06,1.201
2014-07,1.154
2014-08,1.181
2014-09,1.164
2014-10,1.153
2014-11,1.151
2014-12,1.078
2015-01,1.027
2015-02,1.083
2015-03,1.086
2015-04,1.132
2015-05,1.158
2015-06,1.16
2015-07,1.141
2015-08,1.127
2015-09,1.146
2015-10,1.092
2015-11,1.092
2015-12,1.038
2016-01,0.974
2016-02,1.055
2016-03,1.07
2016-04,1.077
2016-05,1.091
2016-06,1.11
2016-07,1.111
2016-08,1.115
2016-09,1.111
2016-10,1.121
2016-11,1.087
2016-12,1.074
2017-01,1.005
2017-02,1.075
2017-03,1.08
2017-04,1.12
2017-05,1.168
2017-06,1.163
2017-07,1.126
2017-08,1.158
2017-09,1.147
2017-10,1.153
2017-11,1.155
2017-12,1.151
2018-01,1.131
2018-02,1.198
2018-03,1.209
2018-04,1.234
2018-05,1.307
2018-06,1.247
2018-07,1.245
2018-08,1.227
2018-09,1.241
2018-10,1.224
2018-11,1.162
2018-12,1.142
2019-01,1.128
2019-02,1.173
2019-03,1.197
2019-04,1.194
2019-05,1.228
2019-06,1.181
2019-07,1.171
2019-08,1.19
2019-09,1.199
2019-10,1.152
2019-11,1.124
2019-12,1.052
2020-01,1.022
2020-02,1.085
2020-03,1.087
2020-04,0.923
2020-05,0.938
2020-06,0.971
2020-07,1.018
2020-08,1.099
2020-09,1.177
2020-10,1.18
2020-11,1.154
2020-12,1.122
2021-01,1.11
2021-02,1.13
2021-03,1.196
2021-04,1.178
2021-05,1.269
2021-06,1.231
2021-07,1.177
2021-08,1.234
2021-09,1.184
2021-10,1.189
2021-11,1.206
2021-12,1.208
2022-01,1.078
2022-02,1.171
2022-03,1.203
2022-04,1.172
2022-05,1.235
2022-06,1.203
2022-07,1.232
2022-08,1.278
2022-09,1.241
2022-10,1.224
2022-11,1.201
2022-12,1.161
2023-01,1.124
2023-02,1.167
2023-03,1.155
2023-04,1.144
2023-05,1.166
2023-06,1.147
2023-07,1.122
2023-08,1.143
2023-09,1.163
2023-10,1.108
2023-11,1.094
2023-12,1.077
2024-01,1.039
2024-02,1.115
2024-03,1.113
2024-04,1.098
2024-05,1.098
2024-06,1.078
2024-07,1.11
2024-08,1.121
2024-09,1.102
2024-10,1.081
2024-11,1.086
2024-12,1.007
2025-01,0.954
2025-02,1.054
2025-03,1.054
2025-04,1.058
2025-05,1.054
2025-06,1.052
2025-07,1.033
2025-08,1.017
2025-09,1.042
2025-10,0.997
2025-11,1.0038
2025-12,0.9319
2026-01,0.886
2026-02,0.978
2026-03,1.007
