quarter_end,hh_income
1970-03-31,8752.09
1970-06-30,8821.57
1970-09-30,8892.42
1970-12-31,8946.28
1971-03-31,8999.42
1971-06-30,9077.09
1971-09-30,9210.19
1971-12-31,9380.46
1972-03-31,9563.38
1972-06-30,9757.96
1972-09-30,9948.77
1972-12-31,10171.70
1973-03-31,10393.50
1973-06-30,10625.11
1973-09-30,10786.79
1973-12-31,11004.87
1974-03-31,11177.27
1974-06-30,11342.08
1974-09-30,11483.19
1974-12-31,11647.00
1975-03-31,11789.29
1975-06-30,11913.51
1975-09-30,12093.00
1975-12-31,12358.05
1976-03-31,12626.07
1976-06-30,12867.47
1976-09-30,13077.68
1976-12-31,13258.38
1977-03-31,13455.90
1977-06-30,13668.50
1977-09-30,13959.30
1977-12-31,14381.70
1978-03-31,14788.42
1978-06-30,15224.92
1978-09-30,15605.22
1978-12-31,15978.43
1979-03-31,16346.42
1979-06-30,16676.70
1979-09-30,17015.93
1979-12-31,17324.96
1980-03-31,17700.32
1980-06-30,18003.83
1980-09-30,18310.72
1980-12-31,18655.99
1981-03-31,19068.14
1981-06-30,19401.63
1981-09-30,19794.86
1981-12-31,20165.08
1982-03-31,20498.40
1982-06-30,20699.72
1982-09-30,20881.89
1982-12-31,21039.02
1983-03-31,21193.62
1983-06-30,21376.15
1983-09-30,21635.45
1983-12-31,22032.21
1984-03-31,22499.25
1984-06-30,22997.85
1984-09-30,23433.72
1984-12-31,23767.70
1985-03-31,24062.47
1985-06-30,24284.04
1985-09-30,24555.33
1985-12-31,24894.71
1986-03-31,25286.34
1986-06-30,25663.63
1986-09-30,26000.26
1986-12-31,26275.69
1987-03-31,26578.99
1987-06-30,26916.83
1987-09-30,27205.15
1987-12-31,27456.77
1988-03-31,27749.20
1988-06-30,28048.41
1988-09-30,28423.24
1988-12-31,28909.98
1989-03-31,29491.20
1989-06-30,29982.00
1989-09-30,30307.34
1989-12-31,30443.46
1990-03-31,30691.69
1990-06-30,31010.83
1990-09-30,31290.34
1990-12-31,31387.42
1991-03-31,31322.19
1991-06-30,31252.51
1991-09-30,31210.84
1991-12-31,31265.84
1992-03-31,31418.47
1992-06-30,31646.54
1992-09-30,31887.56
1992-12-31,32103.73
1993-03-31,32183.97
1993-06-30,32285.86
1993-09-30,32366.73
1993-12-31,32602.12
1994-03-31,32796.61
1994-06-30,33129.11
1994-09-30,33527.05
1994-12-31,34110.40
1995-03-31,34641.81
1995-06-30,35150.63
1995-09-30,35490.34
1995-12-31,35715.13
1996-03-31,36049.10
1996-06-30,36478.26
1996-09-30,36909.68
1996-12-31,37296.19
1997-03-31,37660.53
1997-06-30,38043.46
1997-09-30,38424.01
1997-12-31,38793.80
1998-03-31,39297.03
1998-06-30,39814.34
1998-09-30,40423.38
1998-12-31,41060.31
1999-03-31,41636.30
1999-06-30,42133.88
1999-09-30,42225.26
1999-12-31,41980.56
2000-03-31,42060.57
2000-06-30,42219.33
2000-09-30,42486.94
2000-12-31,42629.08
2001-03-31,42767.14
2001-06-30,42668.08
2001-09-30,42665.05
2001-12-31,42711.69
2002-03-31,42777.94
2002-06-30,43008.84
2002-09-30,43176.17
2002-12-31,43265.05
2003-03-31,43295.39
2003-06-30,43444.58
2003-09-30,43624.85
2003-12-31,43891.18
2004-03-31,44141.11
2004-06-30,44439.02
2004-09-30,44789.17
2004-12-31,45366.70
2005-03-31,45706.48
2005-06-30,46078.88
2005-09-30,46344.88
2005-12-31,46837.76
2006-03-31,47530.45
2006-06-30,48192.10
2006-09-30,48796.24
2006-12-31,49285.21
2007-03-31,49893.51
2007-06-30,50622.68
2007-09-30,51124.61
2007-12-31,51319.20
2008-03-31,51503.58
2008-06-30,52084.14
2008-09-30,52319.30
2008-12-31,52208.98
2009-03-31,51173.37
2009-06-30,50419.68
2009-09-30,49714.32
2009-12-31,49576.63
2010-03-31,49611.76
2010-06-30,50039.20
2010-09-30,50275.33
2010-12-31,50257.71
2011-03-31,50364.00
2011-06-30,50409.69
2011-09-30,50597.98
2011-12-31,50636.33
2012-03-31,50884.69
2012-06-30,51126.80
2012-09-30,51388.40
2012-12-31,52084.11
2013-03-31,52131.68
2013-06-30,52387.21
2013-09-30,52116.83
2013-12-31,52364.29
2014-03-31,52762.44
2014-06-30,53329.91
2014-09-30,53989.72
2014-12-31,54545.93
2015-03-31,55071.35
2015-06-30,55523.16
2015-09-30,56002.19
2015-12-31,56503.31
2016-03-31,56927.30
2016-06-30,57294.38
2016-09-30,57792.83
2016-12-31,58453.48
2017-03-31,59318.54
2017-06-30,60247.90
2017-09-30,60808.40
2017-12-31,60969.16
2018-03-31,61137.04
2018-06-30,61328.21
2018-09-30,62022.79
2018-12-31,63259.96
2019-03-31,64591.54
2019-06-30,65813.24
2019-09-30,66348.56
2019-12-31,66094.66
2020-03-31,65941.49
2020-06-30,67451.00
2020-09-30,68049.37
2020-12-31,67918.13
2021-03-31,68918.20
2021-06-30,68893.85
2021-09-30,70379.75
2021-12-31,70676.21
2022-03-31,72465.09
2022-06-30,74496.78
2022-09-30,75828.55
2022-12-31,76229.59
2023-03-31,76771.42
2023-06-30,77217.60
2023-09-30,77929.80
2023-12-31,78957.18
2024-03-31,80061.24
2024-06-30,81170.92
2024-09-30,82171.05
2024-12-31,83012.79
