quarter,credit_card,mortgage,auto,student
1999Q4,6.18,0.88,2.11,
2000Q1,6.45,0.92,1.88,
2000Q2,6.23,0.83,2.03,
2000Q3,5.65,0.78,2,
2000Q4,5.95,0.92,2.28,
2001Q1,6,1.09,2.37,
2001Q2,6.74,1.09,2.13,
2001Q3,6.67,1.11,2.28,
2001Q4,7.21,1.17,2.32,
2002Q1,8.36,1.23,2.54,
2002Q2,8.57,1.07,2.36,
2002Q3,8.81,1.08,2.3,
2002Q4,9.04,1.19,2.3,
2003Q1,8.84,1.21,2.33,6.12912339011217
2003Q2,8.9,1.14,2.26,6.13721696171264
2003Q3,8.67,1.1,2.16,6.26969453376206
2003Q4,9.24,1.06,2.16,6.23159351522341
2004Q1,9.27,1.01,2.32,6.33629715165512
2004Q2,8.85,1,2.17,6.37519969570179
2004Q3,8.65,1.08,2.27,6.49606060606061
2004Q4,9.18,1.08,2.42,6.3213769164015
2005Q1,9.59,1.01,2.38,6.03245324532453
2005Q2,9.23,0.87,1.99,6.71180555555556
2005Q3,9.07,0.91,2.03,6.99338099020386
2005Q4,8.53,0.93,2.09,6.58922644881287
2006Q1,8.82,0.92,2.15,6.39263521288838
2006Q2,8.96,0.86,2.22,6.65595807701071
2006Q3,9.19,1.07,2.58,7.15849563465413
2006Q4,9.66,1.31,2.62,7.14119601328904
2007Q1,9.74,1.56,2.59,6.84932859399684
2007Q2,9.38,1.76,2.54,7.29299610894942
2007Q3,9.34,2.23,2.76,7.58580315171001
2007Q4,9.48,2.93,3.05,7.5110502283105
2008Q1,9.49,3.94,3.22,7.38259668508287
2008Q2,10.15,4.16,3.26,7.55091250213201
2008Q3,9.48,4.73,3.64,7.54984449173351
2008Q4,10.18,5.59,3.94,7.823087752229
2009Q1,11.44,6.97,4.35,7.87703681351841
2009Q2,11.74,7.93,4.47,8.262363044122
2009Q3,11.9,8.17,4.68,8.45241180705544
2009Q4,12.7,8.75,4.92,8.65714681824484
2010Q1,13.73,8.89,5.01,8.65901293217208
2010Q2,13.74,8.36,4.84,8.95273729814888
2010Q3,13.16,7.82,4.83,9.16949370341814
2010Q4,13.27,7.61,5.27,9.11665434836167
2011Q1,13.12,7.46,5.09,8.95984270734032
2011Q2,12.16,6.91,4.99,9.08644585388771
2011Q3,11.5,6.83,5.03,8.83934727648816
2011Q4,11.48,6.89,4.82,8.44986263736264
2012Q1,11.27,6.67,4.55,8.69213380979333
2012Q2,10.9,6.33,4.24,8.92
2012Q3,10.45,5.9,4.25,11
2012Q4,10.57,5.58,4.03,11.73
2013Q1,10.21,5.35,3.92,11.19
2013Q2,9.99,4.94,3.57,10.9
2013Q3,9.36,4.31,3.37,11.83
2013Q4,9.45,3.93,3.35,11.51
2014Q1,8.51,3.72,3.32,11.01
2014Q2,7.83,3.39,3.27,10.92
2014Q3,7.46,3.18,3.14,11.09
2014Q4,7.31,3.07,3.47,11.32
2015Q1,8.38,2.95,3.34,11.06
2015Q2,8.39,2.51,3.36,11.45
2015Q3,8.21,2.32,3.36,11.56
2015Q4,7.65,2.18,3.37,11.52
2016Q1,7.6,2.08,3.52,11.04
2016Q2,7.17,1.76,3.46,11.06
2016Q3,7.08,1.63,3.58,10.94
2016Q4,7.14,1.57,3.75,11.17
2017Q1,7.45,1.67,3.82,10.98
2017Q2,7.38,1.47,3.92,11.22
2017Q3,7.47,1.38,3.97,11.17
2017Q4,7.55,1.27,4.05,10.96
2018Q1,8.01,1.22,4.26,10.66
2018Q2,7.88,1.11,4.17,10.94
2018Q3,7.94,1.06,4.27,11.53
2018Q4,7.77,1.06,4.47,11.42
2019Q1,8.32,1,4.69,10.85
2019Q2,8.32,0.87,4.64,10.83
2019Q3,8.27,0.97,4.71,10.9
2019Q4,8.36,1.07,4.94,11.06
2020Q1,9.09,1.06,5.05,10.75
2020Q2,9.75,0.84,5.03,6.97
2020Q3,9.74,0.7,4.82,6.5
2020Q4,9.36,0.62,4.77,6.45
2021Q1,9.98,0.59,4.79,6.16
2021Q2,9.28,0.47,4.35,5.69
2021Q3,8.77,0.46,4.05,5.33
2021Q4,8.32,0.46,3.98,4.99
2022Q1,8.42,0.47,4,4.7
2022Q2,7.98,0.48,3.86,4.55
2022Q3,7.59,0.37,3.89,3.92
2022Q4,7.67,0.43,3.73,0.87
2023Q1,8.24,0.44,3.89,0.67
2023Q2,8,0.46,3.82,0.63
2023Q3,9.43,0.5,3.91,0.67
2023Q4,9.74,0.57,4.17,0.6
2024Q1,10.69,0.6,4.41,0.62
2024Q2,10.93,0.57,4.43,0.65
2024Q3,11.1320754716981,0.70945194598888,4.58637469586375,0.485678704856787
2024Q4,11.35,0.7,4.83,0.53
2025Q1,12.3096446700508,0.85546875,4.98660170523751,7.74371551195586
2025Q2,12.2663358147229,0.817478731631864,4.99093655589124,10.1587301587302
2025Q3,12.41,0.83,5.02,9.36
2025Q4,12.7016444792482,0.915717539863326,5.20755848830234,9.56730769230769
